qp,nom_qp,reg,epci1,epci2,uu,disp_q1_A13,disp_q2_A13,disp_q3_A13,disp_q1q3q2_A13,disp_d1_A13,disp_d2_A13,disp_d3_A13,disp_d4_A13,disp_d6_A13,disp_d7_A13,disp_d8_A13,disp_d9_A13,disp_d1d9_A13,disp_gini_A13,disp_s80s20_A13,disp_pact_A13,disp_ppen_A13,disp_ppat_A13,disp_ppsoc_A13,disp_ppfam_A13,disp_ppmini_A13,disp_pplogt_A13,disp_pimpot_A13,QP,TP60_A13,PART_MONOP_A13,PART_MEN5_A13,PART_LOCAT_A13,PART_CHOMPRINC_A13,_merge,code_final
QP013060,Saint André,93.0,241300391.0,,00759,9563.0,14260.0,19442.0,0.7,7543.0,8936.0,10306.0,12111.0,16356.0,18082.0,21055.0,25036.0,3.3,0.3,4.0,64.8,24.1,4.0,18.2,5.3,7.2,5.7,-11.1,QP013060,40.1,19.9,11.0,64.5,,both,QP013060
QP013061,Le Prépaou,93.0,241300177.0,,00759,10864.0,13885.0,17281.0,0.5,8311.0,9878.0,11670.0,12723.0,14839.0,16545.0,18461.0,21493.0,2.6,0.2,2.9,66.2,19.5,2.2,20.5,6.1,7.1,7.4,-8.4,QP013061,33.3,26.0,9.2,92.7,7.4,both,QP013061
QP013062,La Carraire,93.0,241300177.0,,00759,11001.0,13997.0,17310.0,0.5,8559.0,10283.0,11680.0,12981.0,15361.0,16587.0,18598.0,21029.0,2.5,0.2,2.7,71.7,14.9,1.9,19.7,7.5,5.5,6.7,-8.2,QP013062,33.3,22.8,13.1,,,both,QP013062
QP013063,La Maille,93.0,241300177.0,,00759,9959.0,12930.0,16483.0,0.5,7705.0,9328.0,10618.0,11720.0,14158.0,15666.0,17767.0,20404.0,2.6,0.2,3.0,62.1,21.7,1.8,21.5,7.8,7.0,6.7,-7.1,QP013063,42.7,14.3,20.3,86.7,8.3,both,QP013063
QP013064,La Soude Bengale,93.0,241300391.0,,00759,10752.0,14078.0,18097.0,0.5,8552.0,9828.0,11434.0,12703.0,15652.0,17263.0,19347.0,22913.0,2.7,0.2,3.0,54.8,31.1,2.0,21.1,5.9,8.2,7.0,-9.0,QP013064,35.2,27.4,11.2,,,both,QP013064
QP013065,Caillols La Moularde,93.0,241300391.0,,00759,10941.0,13651.0,17518.0,0.5,8607.0,10055.0,11439.0,12712.0,15337.0,16762.0,18560.0,21137.0,2.5,0.2,2.8,56.8,28.1,2.0,21.2,4.8,9.3,7.2,-8.1,QP013065,33.8,27.7,8.5,,,both,QP013065
QP014001,Chemin Vert,28.0,200033157.0,,14601,9709.0,12893.0,16515.0,0.5,7851.0,9097.0,10391.0,11690.0,14262.0,15645.0,17386.0,19909.0,2.5,0.2,3.0,50.2,29.8,2.2,25.4,7.1,9.3,9.0,-7.6,QP014001,43.1,24.2,8.8,,8.4,both,QP014001
QP014002,Grâce De Dieu,28.0,200033157.0,,14601,9533.0,12629.0,16423.0,0.5,7569.0,9053.0,9953.0,11384.0,13909.0,15542.0,17480.0,20177.0,2.7,0.2,3.1,51.6,26.2,2.3,27.3,6.6,11.4,9.3,-7.4,QP014002,45.1,22.3,8.9,,7.7,both,QP014002
QP014003,Guérinière,28.0,200033157.0,,14601,8980.0,11999.0,15257.0,0.5,7081.0,8534.0,9676.0,10968.0,13270.0,14538.0,16087.0,18288.0,2.6,0.2,2.9,48.0,25.0,1.8,31.1,5.8,14.6,10.7,-5.9,QP014003,51.1,20.2,6.5,,10.4,both,QP014003
QP014004,Pierre Heuzé,28.0,200033157.0,,14601,9080.0,12361.0,16076.0,0.6,7325.0,8591.0,9794.0,10958.0,13580.0,15154.0,16953.0,20269.0,2.8,0.2,3.2,51.9,24.2,2.4,29.1,7.6,12.1,9.5,-7.6,QP014004,47.0,21.9,11.4,,8.7,both,QP014004
QP014005,Calvaire Saint Pierre,28.0,200033157.0,,14601,10517.0,13978.0,17751.0,0.5,8167.0,9783.0,11413.0,12844.0,15094.0,16771.0,18696.0,22054.0,2.7,0.2,3.0,58.1,26.8,3.2,21.0,5.2,8.5,7.3,-9.1,QP014005,35.0,18.6,7.8,,,both,QP014005
QP014006,Centre Ville,28.0,200033157.0,,14601,11233.0,13818.0,17487.0,0.5,8733.0,10365.0,11857.0,12916.0,15141.0,16458.0,18433.0,21481.0,2.5,0.2,2.7,55.4,31.3,2.4,18.8,5.4,6.6,6.8,-7.9,QP014006,32.4,17.9,10.8,,,both,QP014006
QP014007,Grande Delle - Val - Belles Portes - Grand Parc - Haute Folie,28.0,200033157.0,,14601,10610.0,13870.0,17997.0,0.5,8253.0,9823.0,11337.0,12609.0,15403.0,16987.0,19229.0,22407.0,2.7,0.2,3.0,64.5,24.6,2.8,17.9,5.7,5.7,6.6,-9.8,QP014007,35.7,20.5,9.2,84.0,8.0,both,QP014007
QP014008,Canteloup - Marronniers - Honfleur,28.0,241400886.0,,00363,9925.0,12451.0,16284.0,0.5,7833.0,9292.0,10487.0,11366.0,13868.0,15587.0,17396.0,20812.0,2.7,0.2,3.1,59.4,22.5,2.7,23.2,8.0,7.3,7.9,-7.8,QP014008,46.4,27.1,12.2,,,both,QP014008
QP014009,Hauteville,28.0,200033124.0,,14401,9590.0,12525.0,16057.0,0.5,7805.0,9247.0,10165.0,11536.0,13825.0,15207.0,16878.0,19662.0,2.5,0.2,2.8,47.8,31.6,2.6,24.9,7.2,8.7,9.0,-6.9,QP014009,45.7,24.9,8.2,,9.1,both,QP014009
QP015001,Aurillac Sud,84.0,241500230.0,,15401,9325.0,12867.0,17116.0,0.6,6762.0,8779.0,10200.0,11771.0,14458.0,16184.0,18638.0,24075.0,3.6,0.3,3.9,45.0,36.3,6.2,21.0,4.4,9.3,7.3,-8.5,QP015001,42.1,16.4,7.8,75.4,,both,QP015001
QP016001,Basseau - Grande Garenne,75.0,241600253.0,,16601,8580.0,11664.0,15647.0,0.6,6821.0,8170.0,9113.0,10294.0,13099.0,14857.0,16623.0,20034.0,2.9,0.2,3.5,43.3,29.6,5.0,30.0,7.2,13.5,9.3,-7.9,QP016001,53.6,20.7,10.3,84.9,6.9,both,QP016001
QP016002,Ma Campagne,75.0,241600253.0,,16601,9419.0,12662.0,16236.0,0.5,7549.0,8733.0,10131.0,11336.0,14015.0,15440.0,17330.0,20001.0,2.6,0.2,3.1,50.6,24.1,2.8,30.1,5.6,14.1,10.4,-7.6,QP016002,47.0,20.5,7.9,,,both,QP016002
QP016003,Bel Air - La Grand Font,75.0,241600253.0,,16601,9314.0,12545.0,16687.0,0.6,7468.0,8844.0,9964.0,11462.0,14030.0,15926.0,17821.0,20753.0,2.8,0.2,3.5,50.1,28.1,4.6,26.2,5.4,11.6,9.2,-9.0,QP016003,46.4,22.2,6.0,,8.4,both,QP016003
QP016004,L'Etang Des Moines,75.0,241600253.0,,16601,10363.0,13173.0,16292.0,0.5,8470.0,9310.0,11030.0,12287.0,14440.0,15339.0,17569.0,20113.0,2.4,0.2,2.9,53.2,23.6,3.8,27.0,5.4,11.7,9.9,-7.6,QP016004,37.5,24.2,6.9,,,both,QP016004
QP016005,Champ De Manoeuvre,75.0,241600253.0,,16601,8938.0,11820.0,15093.0,0.5,7383.0,8470.0,9439.0,10706.0,12949.0,14423.0,16029.0,18475.0,2.5,0.2,2.9,43.2,26.7,2.6,33.2,7.8,14.7,10.8,-5.7,QP016005,52.9,19.7,10.7,,10.2,both,QP016005
QP016006,Crouin,75.0,241600345.0,,16401,9120.0,11942.0,15807.0,0.6,7198.0,8500.0,9584.0,10679.0,13331.0,15014.0,16678.0,20381.0,2.8,0.2,3.2,54.5,21.0,3.2,29.1,6.5,12.8,9.8,-7.8,QP016006,51.2,22.5,7.1,,13.0,both,QP016006
QP017001,Mireuil,75.0,241700434.0,,17601,10325.0,13205.0,17084.0,0.5,8346.0,9764.0,11039.0,12142.0,14694.0,16181.0,17959.0,20514.0,2.5,0.2,2.8,54.3,28.1,2.8,22.5,6.2,8.6,7.7,-7.7,QP017001,39.7,24.6,8.8,94.2,8.8,both,QP017001
QP017002,Villeneuve-Les-Salines,75.0,241700434.0,,17601,9795.0,12832.0,16222.0,0.5,7860.0,9001.0,10511.0,11816.0,14155.0,15439.0,17259.0,19956.0,2.5,0.2,3.0,57.4,22.8,2.7,24.9,6.1,9.9,8.9,-7.8,QP017002,43.2,25.3,8.2,,10.2,both,QP017002
QP017003,Bellevue - Boiffiers,75.0,200036473.0,,17401,9062.0,11738.0,14993.0,0.5,7161.0,8426.0,9488.0,10527.0,12881.0,14131.0,16160.0,19091.0,2.7,0.2,3.1,43.6,29.7,2.8,29.9,5.6,13.3,11.0,-6.0,QP017003,53.4,26.0,5.2,,10.2,both,QP017003
QP017004,Centre Ville - Avant-Garde,75.0,200041762.0,,17403,10617.0,13799.0,17859.0,0.5,8034.0,9867.0,11290.0,12549.0,15345.0,16901.0,18925.0,23773.0,3.0,0.3,3.8,58.5,27.0,6.2,18.8,2.9,8.5,7.3,-10.5,QP017004,36.4,14.9,5.0,84.4,,both,QP017004
QP017005,Le Petit Marseille,75.0,200041762.0,,17403,9276.0,12485.0,16898.0,0.6,7618.0,8869.0,9744.0,10774.0,13848.0,15400.0,17872.0,21054.0,2.8,0.2,3.1,56.9,17.2,3.7,29.8,8.5,12.1,9.2,-7.6,QP017005,47.4,26.8,10.6,,,both,QP017005
QP017006,Eco quartier l'Yeuse-La Robinière,75.0,241700640.0,,17402,10256.0,13616.0,18493.0,0.6,8056.0,9419.0,11098.0,12458.0,15543.0,17421.0,19607.0,23347.0,2.9,0.3,3.5,34.9,50.2,7.5,16.5,3.1,6.9,6.4,-9.1,QP017006,37.0,15.5,,70.4,,both,QP017006
QP017007,Port-Neuf,75.0,241700434.0,,17601,10736.0,13893.0,17313.0,0.5,8307.0,9820.0,11583.0,12581.0,15201.0,16476.0,18171.0,20577.0,2.5,0.2,2.7,52.2,31.9,2.8,21.0,3.1,10.0,7.8,-7.9,QP017007,34.9,19.6,,,,both,QP017007
QP018001,Bourges Nord,24.0,241800507.0,,18501,9392.0,12523.0,16479.0,0.6,7563.0,8799.0,9989.0,11351.0,13934.0,15549.0,17521.0,20659.0,2.7,0.2,3.2,48.2,30.1,3.5,26.2,6.0,11.5,8.7,-8.0,QP018001,46.3,18.9,8.7,89.2,7.9,both,QP018001
QP018002,Val D'Auron - Bourges,24.0,241800507.0,,18501,9570.0,12711.0,16367.0,0.5,7722.0,9140.0,10204.0,11401.0,14256.0,15685.0,17254.0,20473.0,2.7,0.2,3.0,61.1,17.7,3.4,27.2,6.1,11.5,9.6,-9.4,QP018002,45.2,29.8,6.0,,10.4,both,QP018002
QP018003,Le Vernet - Saint Amand Montrond,24.0,200036135.0,,18301,9928.0,13057.0,17428.0,0.6,8090.0,9153.0,10602.0,11832.0,14659.0,16346.0,18478.0,21445.0,2.7,0.2,3.0,47.3,33.3,4.2,23.1,3.8,11.0,8.3,-7.9,QP018003,42.9,19.0,,,,both,QP018003
QP018004,Clos Du Roy - Centre Ville - Vierzon,24.0,200033207.0,,18401,8869.0,12304.0,16494.0,0.6,6693.0,8338.0,9429.0,10879.0,13722.0,15574.0,17686.0,21257.0,3.2,0.3,4.2,48.9,31.1,5.6,24.0,4.3,11.5,8.1,-9.6,QP018004,48.2,16.1,5.7,85.0,8.9,both,QP018004
QP019001,Rivet,75.0,200043172.0,,00554,9783.0,13030.0,16758.0,0.5,7856.0,9385.0,10317.0,11218.0,14709.0,15927.0,17574.0,20112.0,2.6,0.2,3.2,55.4,27.4,3.0,22.0,6.1,7.7,8.2,-7.8,QP019001,44.3,21.4,8.2,,,both,QP019001
QP019002,Tujac,75.0,200043172.0,,00554,10189.0,12952.0,16322.0,0.5,7875.0,9595.0,10747.0,11692.0,13981.0,15184.0,17332.0,20365.0,2.6,0.2,2.9,52.3,29.5,3.5,21.9,6.5,7.7,7.7,-7.2,QP019002,43.2,15.2,10.1,80.6,9.8,both,QP019002
QP019003,Les Chapélies,75.0,200043172.0,,00554,10240.0,13444.0,17410.0,0.5,8100.0,9580.0,10871.0,12140.0,15055.0,16465.0,17986.0,20932.0,2.6,0.2,3.1,57.0,26.9,3.1,21.0,6.3,7.2,7.6,-8.0,QP019003,39.4,15.5,10.2,,,both,QP019003
QP021001,Saint Jacques,27.0,200006682.0,,21401,10640.0,13710.0,16852.0,0.5,8035.0,9644.0,11268.0,12747.0,14777.0,15961.0,17753.0,20138.0,2.5,0.2,2.8,71.0,17.7,1.7,17.8,5.9,5.7,6.2,-8.2,QP021001,34.7,21.6,8.8,,,both,QP021001
QP021002,Le Mail,27.0,242100410.0,,21701,10356.0,13444.0,17197.0,0.5,8069.0,9685.0,10943.0,12310.0,14709.0,16349.0,18074.0,21133.0,2.6,0.2,2.9,54.3,29.3,3.6,20.2,6.9,6.3,6.9,-7.4,QP021002,38.3,15.3,15.1,81.2,6.9,both,QP021002
QP021003,Fontaine D'Ouche,27.0,242100410.0,,21701,10468.0,13541.0,17856.0,0.5,8183.0,9741.0,10972.0,12229.0,15023.0,16744.0,18848.0,21996.0,2.7,0.2,3.2,56.2,30.3,3.7,19.2,6.2,6.7,6.3,-9.4,QP021003,39.3,18.5,12.8,76.4,6.8,both,QP021003
QP021004,Les Grésilles,27.0,242100410.0,,21701,9889.0,12957.0,16039.0,0.5,7452.0,9149.0,10564.0,11792.0,14094.0,15394.0,16970.0,19576.0,2.6,0.2,3.0,59.7,21.7,1.9,24.1,5.8,9.6,8.8,-7.4,QP021004,42.0,13.1,11.1,,8.8,both,QP021004
QP021005,Le Bief Du Moulin,27.0,242100410.0,,21701,10639.0,13243.0,16608.0,0.5,8488.0,9956.0,11190.0,12391.0,14164.0,15642.0,17477.0,20391.0,2.4,0.2,2.6,60.5,23.0,2.1,21.5,6.3,7.6,7.6,-7.1,QP021005,36.0,16.7,10.5,,,both,QP021005
QP021006,Le Belvédère,27.0,242100410.0,,21701,10652.0,13701.0,17295.0,0.5,8145.0,10019.0,11194.0,12413.0,14814.0,16297.0,18328.0,20977.0,2.6,0.2,3.0,62.3,22.4,2.9,21.1,5.4,8.1,7.6,-8.7,QP021006,37.0,19.3,9.1,,,both,QP021006
QP022001,Ar Santé - Les Fontaines,53.0,200048775.0,,22403,9790.0,13074.0,16250.0,0.5,7899.0,9415.0,10483.0,12043.0,14189.0,15391.0,17230.0,19771.0,2.5,0.2,2.8,45.1,32.7,3.0,25.5,4.6,10.8,10.1,-6.3,QP022001,40.5,25.9,,,,both,QP022001
QP022002,Ker Uhel,53.0,200048775.0,,22403,9445.0,13076.0,16730.0,0.6,6922.0,8752.0,10691.0,11872.0,14693.0,16015.0,17967.0,20841.0,3.0,0.2,3.4,57.3,24.0,3.8,23.9,3.5,11.7,8.7,-9.0,QP022002,41.4,,,,,both,QP022002
